Blank,Type,Model,Asset Status,MAC Address,Serial,Asset Tag,Computer Name,Asset Condition,Delivery Date,Warranty,OS,Asset Remarks,Blank,Blank,Blank,Brand,Active Directory,Country,OS Version,Supplier,Disposal Date
,Laptop,Dell Latitude E5400,In Use,3448ED6AD4DE,8JP2433,,PH-L8JP2433,WORKING,2020-06-01,,,,,Migration,2021-07-12,,,,,,
,Laptop,Dell Latitude E5400,In Use,98E7438239DF,90R8YY2,,PH-L90R8YY2,,2019-12-02,,,,,Migration,2021-07-12,,,,,,
,Laptop,Dell Latitude E5400,In Use,98E743823CF3,94K8YY2,,PH-L94K8YY2,WORKING,2019-12-02,,,,,Migration,2021-07-12,,,,,,
,Laptop,Dell Latitude E5400,In Use,98E7438239F3,99K8YY2,,PH-L99K8YY2,,2019-12-02,,,,,Migration,2021-07-12,,,,,,
,Laptop,Dell Latitude E5400,In Use,98E743826945,9GX8YY2,,PH-L9GX8YY2,,2019-12-02,,,,,Migration,2021-07-12,,,,,,
,Laptop,Dell Latitude E5400,In Use,98E743823C57,9HX8YY2,,PH-L9HX8YY2,,2019-12-02,,,,,Migration,2021-07-12,,,,,,
,Laptop,Dell Latitude E5400,In Use,98E743823B0E,9PQ8YY2,,PH-L9PQ8YY2,,2019-12-02,,,,,Migration,2021-07-12,,,,,,
,Laptop,Dell Latitude E5400,In Use,3448ED6AD28A,9VB2433,,PH-L9VB2433,WORKING,2020-06-01,,,,,Migration,2021-07-12,,,,,,
,Laptop,Dell Latitude E5400,In Use,98E74382382C,B4K8YY2,,PH-LB4K8YY2,WORKING,2019-12-02,,,,,Migration,2021-07-12,,,,,,
,Laptop,Dell Latitude E5400,In Use,3448ED6AD4F8,BS73433,,PH-LBS73433,WORKING,2020-06-01,,,,,Migration,2021-07-12,,,,,,
,Laptop,Dell Precision 7540,In Use,98E743712A57,BTKKYY2,,PH-LBTKYY2,,2019-12-02,,,,,Migration,2021-07-12,,,,,,
,Laptop,Dell Latitude E5400,In Use,3448ED6AD4ED,BWB2433,,PH-LBWB2433,WORKING,2020-06-01,,,,,Migration,2021-07-12,,,,,,
,Laptop,Dell Latitude E5400,In Stock,3448ED6AD4DB,C0J2433,,PH-LC0J2433,WORKING,2020-06-01,,,,,Migration,2021-07-12,,,,,,
,Laptop,Dell Latitude E5400,In Use,3448ED66350F,C8P2433,,PH-LC8P2433,WORKING,2020-06-01,,,,,Migration,2021-07-12,,,,,,
,Laptop,Dell Latitude E5400,In Use,3448ED6AD277,CFP2433,,PH-LCFP2433,WORKING,2020-06-01,,,,,Migration,2021-07-12,,,,,,
,Laptop,Dell Latitude E5400,In Use,3448ED6ACB60,CLB2433,,PH-LCLB2433,WORKING,2020-06-01,,,,,Migration,2021-07-12,,,,,,
,Laptop,Dell Latitude E5400,In Use,98E743823B03,CPX8YY2,,PH-LCPX8YY2,WORKING,2019-12-02,,,,,Migration,2021-07-12,,,,,,
,Laptop,Dell Latitude E5400,In Stock,3448ED6AD500,CRV2433,,PH-LCRV2433,WORKING,2020-06-01,,,,,Migration,2021-07-12,,,,,,
,Laptop,Dell Latitude E5400,In Use,3448ED6AD270,CVV2433,,PH-LCVV2433,WORKING,2020-06-01,,,,,Migration,2021-07-12,,,,,,
,Laptop,Dell Latitude E5400,In Use,98E7438239EC,CXQ8YY2,,PH-LCXQ8YY2,,2019-12-02,,,,,Migration,2021-07-12,,,,,,
,Laptop,Dell Latitude E5490,In Use,C8F75001C48B,D2B98S2,RM462234,PH-LD2B98S2,WORKING,2019-06-27,,,,,Migration,2021-07-12,,,,,,
,Laptop,Dell Latitude E5400,In Use,98E743823C3A,D5K8YY2,,PH-LD5K8YY2,,2019-12-02,,,,,Migration,2021-07-12,,,,,,
,Laptop,Dell Latitude E5400,In Use,3448ED6ACF23,D5P6433,,PH-LD5P6433,WORKING,2020-06-01,,,,,Migration,2021-07-12,,,,,,
,Laptop,Dell Latitude E5400,In Use,98E743823AFC,DZQ8YY2,,PH-LDZQ8YY2,,2019-12-02,,,,,Migration,2021-07-12,,,,,,
,Laptop,Dell Latitude E5400,In Use,3448ED6AD4F7,FDP2433,,PH-LFDP2433,WORKING,2020-06-01,,,,,Migration,2021-07-12,,,,,,
,Laptop,Dell Latitude E5400,In Use,98E7438268B4,FFX8YY2,,PH-LFFX8YY2,,2019-12-02,,,,,Migration,2021-07-12,,,,,,
,Laptop,Dell Latitude E5400,In Use,3448ED6AD278,FNV2433,,PH-LFNV2433,WORKING,2020-06-01,,,,,Migration,2021-07-12,,,,,,
,Laptop,Dell Latitude E5400,In Use,3448ED6AD2F3,FTB2433,,PH-LFTB2433,WORKING,2020-06-01,,,,,Migration,2021-07-12,,,,,,
,Laptop,Dell Latitude E5400,In Use,3448ED6AD4DD,FXH2433,,PH-LFXH2433,WORKING,2020-06-01,,,,,Migration,2021-07-12,,,,,,
,Laptop,Dell Latitude E5400,In Use,3448ED6AD4EB,G2J2433,,PH-LG2J2433,WORKING,2020-06-01,,,,,Migration,2021-07-12,,,,,,
,Laptop,Dell Latitude E5400,In Use,98E743826A20,G339YY2,,PH-LG339YY2,,2019-12-02,,,,,Migration,2021-07-12,,,,,,
,Laptop,Dell Latitude E5400,In Use,3448ED6AD285,G357433,,PH-LG357433,WORKING,2020-06-01,,,,,Migration,2021-07-12,,,,,,
,Laptop,Dell Latitude E5400,In Use,4C-1D-96-09-D5-CB,LG7K8YY2,,PH-LG7K8YY2,WORKING,2019-12-02,,,,,Migration,2021-07-12,,,,,,
,Laptop,Dell Latitude E5400,In Use,3448ED6AD010,G842433,,PH-LG842433,WORKING,2020-06-01,,,,,Migration,2021-07-12,,,,,,
